Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2016,155.99,31789685.0,1.76731054757933,74.84,25.16,301256033870.334,9800.0,37.6832735037439,21.7969514793711,4.47130958598651,,,,,,,99.9,,91.6,,,4.69,78.7883,137.8669153,16.3864419259472,
2017,159.52,32355644.0,1.76466064017847,75.447,24.553,319109094160.343,9560.0,38.1147163565611,21.8461598838126,2.93582038058561,,,,,,,100.0,,90.7,,,4.28,80.1405,132.4079212,14.9450075810201,
2018,169.09,32910967.0,1.70174731907235,76.036,23.964,358788845712.53,10200.0,38.2914391724977,21.5281592651946,2.31458721219734,,,,,,,100.0,,89.5,,,4.5,81.201,130.908501,16.6541753286852,
2019,176.84,33440596.0,1.59646653343981,76.607,23.393,365177721021.516,10750.0,37.4765552390649,21.4089982975331,2.50697705748044,,,,,,,100.0,,88.2,,,4.44,84.1871,135.9610804,17.8197510834605,
2020,172.46,33889558.0,1.33363323143911,77.16,22.84,337456163961.211,10110.0,35.9347385342535,22.2320775941863,1.20275464255821,,,,,,,100.0,,86.9,,,4.49,89.555,131.6976181,16.1938532237922,
2021,174.27,34282399.0,1.15251304394292,77.696,22.304,373784823672.946,10520.0,37.6826861838931,23.363165635524,5.41625984914692,,,,,,,100.0,,86.0,,,4.49,96.7514,140.5905675,,
2022,182.25,34695493.0,1.1977720012836,78.214,21.786,407605841348.235,11610.0,39.0948343009769,23.3311324135913,3.68689336269238,,,,,,,100.0,,84.1,,,,97.3986,141.2923164,,
2023,186.66,35126298.0,1.23402869169549,78.716,21.284,399705169318.477,11710.0,37.6697498125523,23.0173409040289,1.98111049295111,,,,,,,,,,,,,97.6927,,,
2024,,,,79.201,,,,,,,,,,,,,,,,,,,,,,
2025,,,,79.67,,,,,,,,,,,,,,,,,,,,,,
2026,,,,80.124,,,,,,,,,,,,,,,,,,,,,,
2027,,,,80.562,,,,,,,,,,,,,,,,,,,,,,
2028,,,,80.984,,,,,,,,,,,,,,,,,,,,,,
2029,,,,81.392,,,,,,,,,,,,,,,,,,,,,,
2030,,,,81.786,,,,,,,,,,,,,,,,,,,,,,
2031,,,,82.165,,,,,,,,,,,,,,,,,,,,,,
2032,,,,82.531,,,,,,,,,,,,,,,,,,,,,,
2033,,,,82.883,,,,,,,,,,,,,,,,,,,,,,
2034,,,,83.223,,,,,,,,,,,,,,,,,,,,,,
2035,,,,83.549,,,,,,,,,,,,,,,,,,,,,,
