Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Country
2000,2.54,326424,2.171847504,71.164,28.836,6570999060,19390,66.26658255,2.459671565,,7304.934686,7701.639585,0,0,100,,100,1.140385372,100,-725.5084282,0.217425045,4.34,8.99628,28.44941694,7.152370717,14.14020184,Brunei Darussalam
2001,2.58,333345,2.09808399,71.652,28.348,6096155748,19270,62.7475897,2.296414467,0.995621604,6623.009195,7325.743599,0,0,100,,100,5.312136487,100,-799.196783,0.197886255,3.91,12.9178,41.96767112,7.144199984,13.25056672,Brunei Darussalam
2002,2.71,340099,2.0058762,72.046,27.954,6333082879,18960,63.08118111,2.857530165,3.626542713,6343.405891,7518.399054,0,0,100,99.9999073,100,5.331358756,100,-839.3335731,0.182285813,3.68,15.3299,44.21967231,7.163598698,12.62269977,Brunei Darussalam
2003,3.2,346637,1.904137119,72.421,27.579,7167725265,19840,66.48449806,2.496517805,1.727478476,7226.392451,8715.168894,0,0,100,100,100,5.327483547,100,-746.201598,0.182115092,4.15,19.595,50.09673912,7.18894519,12.99158717,Brunei Darussalam
2004,3.26,352911,1.793777762,72.794,27.206,8619178799,22190,70.19104535,2.114137439,1.313418245,6507.901426,8755.748617,0,0,100,100,100,5.330882353,100,-803.4359584,0.191987119,3.79,29.7156,56.16529944,7.198617793,13.90208971,Brunei Darussalam
2005,3.26,358916,1.687247732,73.163,26.837,10547202612,25670,73.15300533,1.672249997,1.659857338,6179.468176,8609.256762,0,0,100,100,100,5.330882353,100,-849.5552119,0.185556127,3.65,36.4664,63.5094637,7.17099484,13.70764162,Brunei Darussalam
2006,3.3,364663,1.58852616,73.529,26.471,12644616446,30720,74.92626122,1.226915052,0.694676099,8642.283423,8561.329227,0,0,100,100,100,5.336567617,100,-608.1367378,0.167514858,4.96,42.1863,80.84590459,7.044498108,13.13286158,Brunei Darussalam
2007,3.39,370873,1.688604653,73.892,26.108,13432029496,33470,73.39510643,1.104460839,1.918069921,8701.728085,8709.180771,0,0,100,100,100,4.860088365,100,-542.8667442,0.2819777,5.07,44.68,96.67060948,6.820393116,22.45018193,Brunei Darussalam
2008,3.42,377793,1.848674063,74.252,25.748,15926456492,36700,76.43208179,0.902506028,1.395065811,9377.278033,8626.417112,0,0,100,,100,4.791118902,100,-495.8800283,0.305617354,5.68,46,103.7155978,6.571323808,24.04688439,Brunei Darussalam
2009,3.62,384952,1.877222462,74.608,25.392,11912904529,35470,67.29548108,1.222361333,2.733059994,7904.377689,8816.683638,0,0,100,99.99993427,100,6.035437431,100,-522.4286399,0.266178505,4.97,49,105.7828245,6.369934127,20.48624704,Brunei Darussalam
2010,3.79,392332,1.898976893,74.961,25.039,13707121031,35370,68.65335068,1.249452719,3.507036879,8259.163158,8727.302387,0,0,100,,100,9.70464135,100,-473.1907266,0.267423199,5.15,53,109.8603214,6.288868017,21.10594553,Brunei Darussalam
2011,3.73,399389,1.782745917,75.31,24.69,18524791071,36520,73.67241439,1.220715855,3.730949184,9697.024705,8658.225439,0.004441134,0.053691275,99.94630872,99.99563633,100,7.167785235,100,-382.7048053,0.298504432,5.94,56,110.3746893,7.225343252,24.60717794,Brunei Darussalam
2012,3.93,405557,1.532555159,75.656,24.344,19048443340,41690,72.6556143,1.458303967,4.540545087,9443.915405,9091.200497,0.004490808,0.050890585,99.94910941,99.9955353,100,6.183206107,100,-383.5423125,0.289575066,5.82,60.2731,115.5191155,7.641740714,24.18076388,Brunei Darussalam
2013,4.4,411202,1.382314706,75.997,24.003,18094148099,44580,70.02244393,1.145192419,4.286776224,7398.20818,9710.555883,0.005653881,0.045433894,99.95456611,99.99437899,100,9.291231259,100,-458.3725434,0.235051116,4.72,64.5,113.8721697,7.810452268,19.23359197,Brunei Darussalam
2014,4.5,416750,1.340194369,76.332,23.668,17097797372,42370,67.84963064,1.586758563,3.356609014,8527.805639,10118.77624,0.004839668,0.044385264,99.95561474,99.99518847,100,6.413670661,100,-357.3943792,0.276022099,5.66,68.77,108.4957375,8.038402569,22.12470124,Brunei Darussalam
2015,4.2,422212,1.302103593,76.663,23.337,12930296852,38180,61.36277769,1.617832473,1.324711797,,,,0.047619048,99.95238095,,100,,100,,,4.34,71.2,109.9533264,7.76801291,,Brunei Darussalam
2016,4.27,427564,1.259642722,76.99,23.01,11400266055,32570,57.28936408,1.809332509,-1.320590472,,,,,,,100,,100,,,4.91,90,122.8780218,7.708093727,,Brunei Darussalam
2017,4.16,432772,1.210704566,77.312,22.688,12128168047,29230,59.72058921,1.762866167,3.858188215,,,,,,,100,,100,,,5.87,94.8667,126.6006005,7.230648954,,Brunei Darussalam
2018,4.3,437810,1.157399588,77.629,22.371,13566908401,28790,63.24481837,2.134321499,3.804865525,,,,,,,100,,100,,,5.88,95,130.3207192,7.494855877,,Brunei Darussalam
2019,4.93,442680,1.106213509,77.942,22.058,13469235348,31550,62.5153214,2.327822565,2.771180083,,,,,,,100,,100,,,6.35,95,131.2182683,7.945858113,,Brunei Darussalam
2020,5.74,447404,1.061482816,78.25,21.75,12005799664,30810,59.13363013,6.832098945,4.710575649,,,,,,,100,,100,,,6.31,95.0503,121.4758051,7.597265034,,Brunei Darussalam
2021,5.7,451721,0.960274305,78.554,21.446,14006496614,29890,62.70156408,9.678450683,1.461817223,,,,,,,100,,100,,,6.33,95.6225,135.501254,,,Brunei Darussalam
2022,5.6,455370,0.804554269,78.854,21.146,16681536443,30970,67.92558548,11.62580722,-1.752933709,,,,,,,100,,100,,,,98.9704,117.7551548,,,Brunei Darussalam
2023,5.59,458949,0.782881747,79.149,20.851,15128292981,34480,61.80076976,10.35635051,-0.337068037,,,,,,,,,,,,,,,,,Brunei Darussalam
2024,,462721,,79.439,20.561,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2025,,466330,,79.726,20.274,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2026,,469775,,80.007,19.993,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2027,,473156,,80.285,19.715,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2028,,476433,,80.559,19.441,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2029,,479495,,80.828,19.172,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2030,,482447,,81.093,18.907,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2031,,485316,,81.353,18.647,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2032,,487952,,81.61,18.39,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2033,,490437,,81.863,18.137,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2034,,492894,,82.111,17.889,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2035,,495290,,82.355,17.645,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2000,0.33,12462336,1.59016993,18.586,81.414,3694168979,290,21.64559865,15.82616625,3.202575924,273.8144759,31.93622769,0.002520244,0.223214286,99.77678571,20.33628847,16.6,11.16071429,3.5,20.33631777,0.148160899,7.94,0.0470226,1.077223474,29.79872148,0.162644456,Cambodia
2001,0.28,12658484,1.561668659,18.703,81.297,4145665970,310,23.26462579,17.2541894,3.533376691,270.9766825,35.78627583,0.002507176,0.196463654,99.80353635,21.64185631,9.5,11.00196464,4.1,21.64188547,0.153579926,7.51,0.0769561,1.811108143,29.90572447,0.18153944,Cambodia
2002,0.58,12855241,1.54239258,18.82,81.18,4501227627,320,25.37930584,18.91548632,2.909347732,310.7252521,49.47398497,0.054898249,4.120879121,95.87912088,18.62144657,13.1,13.5989011,4.6,18.63654252,0.139147329,7.05,0.226983,3.025049479,30.01915929,0.174719537,Cambodia
2003,0.65,13050968,1.511071915,18.937,81.063,5046693484,370,26.34287454,19.8968986,1.61651685,315.2880307,50.72420682,0.073854298,6.422018349,93.57798165,19.54712898,19.3,14.94102228,5.2,19.57429911,0.135548551,6.69,0.26057,3.897398361,30.09850954,0.185159888,Cambodia
2004,0.78,13244731,1.47375057,19.055,80.945,5883297160,430,27.68026858,21.21946893,2.233717348,255.8951933,54.96525373,0.06390885,5.153374233,94.84662577,24.43280442,14.2,12.7607362,6.1,24.47850757,0.122874087,6.23,0.300437,6.618588238,30.10325879,0.18723252,Cambodia
2005,0.98,13439202,1.457614537,19.174,80.826,7066296463,510,27.41924702,20.77943186,5.366038526,255.6631711,65.92653344,0.100524112,6.12033195,93.87966805,27.19978905,20.5,11.09958506,6.8,27.36210418,0.119299298,5.73,0.317322,8.01716186,29.99289064,0.209184397,Cambodia
2006,1.22,13639028,1.475943055,19.293,80.707,8350531017,580,29.07002258,22.09961337,5.786570719,251.4366126,79.77108046,0.119243175,5.767599661,94.23240034,29.42880446,27.5,12.04410517,7.5,29.68407142,0.112908615,5.31,0.468357,12.77398895,29.61304767,0.222613711,Cambodia
2007,1.59,13841770,1.475544331,19.413,80.587,10127916460,670,28.14003508,21.27086611,8.563346095,251.2737894,99.40925185,0.114241618,4.557640751,95.44235925,32.96813121,20.2,14.4772118,8.4,33.4295935,0.115283599,5.03,0.49,18.83599976,28.86426229,0.253373751,Cambodia
2008,1.76,14053479,1.51791486,19.571,80.429,12174303999,780,26.04959669,19.69001103,6.695908185,248.2420901,113.2104015,0.124447289,4.385964912,95.61403509,32.73455606,26.4,11.06612686,9.4,34.69567872,0.119207108,4.76,0.51,30.3860731,27.78835274,0.28082695,Cambodia
2009,1.99,14276810,1.576656181,19.93,80.07,12502901170,840,25.56651629,19.09216487,7.425425545,355.8689231,126.2887158,0.115116226,5.371248025,94.62875197,27.94399482,25.6,14.0600316,10.4,29.09264186,0.141113457,5.07,0.53,44.2788579,26.42713726,0.330259355,Cambodia
2010,2.56,14500726,1.556217454,20.294,79.706,13808673288,910,26.00889851,19.69336734,10.16980719,365.4463921,142.4066629,0.11070603,5.5,94.5,30.05983124,31.1,28.6,11.5,31.66749635,0.141725707,5.05,1.26,56.74623762,24.8224341,0.350330567,Cambodia
2011,2.89,14722584,1.518392423,20.663,79.337,16032622024,990,26.66069267,20.59210679,9.598451349,376.5510864,163.0827849,0.185012225,7.075471698,92.9245283,28.98069106,37.4,27.9245283,12.9,31.57697646,0.134718472,4.81,3.1,94.39487785,21.68071077,0.358177248,Cambodia
2012,3.57,14945085,1.499984187,21.037,78.963,17826536700,1110,27.61102977,20.92125449,11.15249124,386.4855904,204.9503231,1.740460487,37.65690377,62.34309623,29.04509302,42.3,18.27057183,14.5,31.93290928,0.129169763,4.68,4.94,129.2052488,22.99657911,0.369259354,Cambodia
2013,4.09,15170208,1.49510213,21.415,78.585,19807135253,1230,28.9581198,21.60353582,10.44305876,393.1491908,219.4432667,2.895637119,57.93025872,42.06974128,28.61223426,50.9,28.06524184,16.1,31.63796045,0.121589038,4.47,6,135.0996151,25.77850235,0.372980821,Cambodia
2014,4.91,15396772,1.482437252,21.799,78.201,22041463968,1330,29.91699165,21.79997251,8.409020203,413.5281084,269.2122738,3.319266207,61.13651208,38.86348792,30.6290814,56.1,23.41606793,18.2,33.11629751,0.133005811,4.5,14,134.4568277,22.10528804,0.437759998,Cambodia
2015,6.13,15623251,1.46023763,22.188,77.812,24174170369,1430,31.46390517,22.45710021,7.54029662,,,,46.41801228,53.58198772,,62.7,,20.7,,,4.58,6.43319,135.2392534,21.5990289,,Cambodia
2016,7.31,15852803,1.458607676,22.582,77.418,26556545153,1550,33.05620946,22.73403562,9.323185073,,,,,,,68.8,,23.4,,,4.74,32.3985,127.4626128,22.40718101,,Cambodia
2017,8.29,16073372,1.381765961,22.98,77.02,29355665910,1690,34.29808092,23.15512318,9.497602031,,,,,,,89.1,,26.9,,,4.59,32.9003,117.3225889,20.70753128,,Cambodia
2018,10.13,16274522,1.243682774,23.388,76.612,33145892169,1920,36.87142375,23.56639279,9.692403,,,,,,,80.7,,31.2,,,4.58,,121.1658947,22.99194255,,Cambodia
2019,12.1,16481304,1.26258301,23.805,76.195,36685356408,2100,39.04559465,24.6156472,9.985000442,,,,,,,84,,35.7,,,4.85,52.3059,132.1508925,22.97380172,,Cambodia
2020,12.78,16725474,1.470629886,24.232,75.768,34818073901,2050,37.45761228,23.99807193,10.41023981,,,,,,,86.4,,41.3,,,5.09,53.6508,128.6026166,24.14360228,,Cambodia
2021,13.46,16974305,1.476778362,24.668,75.332,36790163687,2120,40.32050857,26.65391685,9.468459111,,,,,,,82.5,,47.2,,,4.96,55.6004,119.9575768,,,Cambodia
2022,15.45,17201724,1.330888131,25.114,74.886,39994532960,2270,40.86496262,27.12232987,8.948301258,,,,,,,92.3,,53.5,,,,56.7328,116.3256071,,,Cambodia
2023,18.87,17423880,1.283206776,25.57,74.43,42335646896,2390,40.51737416,26.3329384,9.35096702,,,,,,,,,,,,,,,,,Cambodia
2024,,,,26.035,73.965,,,,,,,,,,,,,,,,,,,,,,Cambodia
2025,,,,26.51,73.49,,,,,,,,,,,,,,,,,,,,,,Cambodia
2026,,,,26.995,73.005,,,,,,,,,,,,,,,,,,,,,,Cambodia
2027,,,,27.49,72.51,,,,,,,,,,,,,,,,,,,,,,Cambodia
2028,,,,27.995,72.005,,,,,,,,,,,,,,,,,,,,,,Cambodia
2029,,,,28.51,71.49,,,,,,,,,,,,,,,,,,,,,,Cambodia
2030,,,,29.034,70.966,,,,,,,,,,,,,,,,,,,,,,Cambodia
2031,,,,29.568,70.432,,,,,,,,,,,,,,,,,,,,,,Cambodia
2032,,,,30.112,69.888,,,,,,,,,,,,,,,,,,,,,,Cambodia
2033,,,,30.665,69.335,,,,,,,,,,,,,,,,,,,,,,Cambodia
2034,,,,31.227,68.773,,,,,,,,,,,,,,,,,,,,,,Cambodia
2035,,,,31.798,68.202,,,,,,,,,,,,,,,,,,,,,,Cambodia
2000,98.04,216077790,1.432440078,42.002,57.998,1.65021E+11,570,41.96907464,22.65975121,-2.757439934,720.369553,382.177178,0.697608147,15.95606751,84.04393249,61.95226725,86.3,11.51352799,6.7,-52.56666114,0.270595911,5.5,0.925564,1.714058712,26.20520179,1.245241613,Indonesia
2001,106.16,219097902,1.388018928,42.783,57.217,1.60447E+11,700,47.89350079,30.75459722,-1.855686193,727.1328778,402.6966904,0.796935863,17.47486519,82.52513481,61.4567562,86.3,12.86270172,7.5,-51.8184045,0.285780124,5.43,2.01861,3.003488464,25.85437605,1.374818345,Indonesia
2002,113.04,222088495,1.355725755,43.568,56.432,1.95661E+11,780,47.74533116,31.95327849,0.074151638,743.9754004,408.602886,0.677335042,14.9532883,85.0467117,62.54925387,87.6,16.14441354,8.8,-50.28629313,0.280144626,5.38,2.13414,5.31540109,25.52916865,1.410233797,Indonesia
2003,117.39,225048008,1.323781977,44.356,55.644,2.34772E+11,880,43.74956609,28.25284184,-0.25425632,736.2766437,419.8259778,0.639576316,13.6385363,86.3614637,62.44202269,87.9,16.3692531,10.4,-53.98829091,0.2707294,5.15,2.38702,8.290855733,25.19757196,1.436404464,Indonesia
2004,124.78,227926649,1.271011395,45.149,54.851,2.56837E+11,1060,44.62761598,28.06582659,0.73824398,774.982863,464.7152953,0.662289287,13.60651781,86.39348219,64.31644718,89,11.85223405,12.5,-50.17429111,0.267369169,5.22,2.60029,13.42692564,24.82757837,1.509898209,Indonesia
2005,132.89,230871650,1.283806612,45.942,54.058,2.85869E+11,1200,46.54105887,27.40750748,2.916114833,778.6431032,490.7142129,0.700147941,13.60553286,86.39446714,64.9962453,84.8,11.16373531,15,-55.91462482,0.248245085,5.02,3.60202,20.5021492,24.38718025,1.508480596,Indonesia
2006,138,233951652,1.325255023,46.738,53.262,3.64571E+11,1350,46.94355874,27.53757408,1.347942641,786.4639742,505.8139106,0.648572292,12.2587772,87.7412228,65.17708139,90.6,11.07370446,18.5,-70.83174955,0.230375652,4.86,4.76481,27.52533357,23.88605543,1.50157677,Indonesia
2007,148.4,237062337,1.320865324,47.535,52.465,4.32217E+11,1570,46.79914152,27.04841275,1.603010572,772.4878794,535.3528595,0.735520957,12.9038839,87.0961161,64.58463741,91.1,10.7202904,23,-74.09463246,0.229617243,4.55,5.78627,39.76307645,23.31567113,1.611855395,Indonesia
2008,155.9,240157903,1.29735043,48.335,51.665,5.10229E+11,1900,48.06074477,27.81427299,1.826329024,777.6178659,558.9322622,0.787998662,13.31583247,86.68416753,63.80707707,92.7,10.10808566,28.45,-73.63386436,0.235625241,4.31,7.91748,59.08224127,22.6167038,1.763895139,Indonesia
2009,162.87,243220028,1.266986251,49.134,50.866,5.3958E+11,2110,47.65212258,26.35547453,0.90391942,829.9987985,582.7110586,0.764661578,13.2330616,86.7669384,65.52072458,93.6,9.598530369,34.2,-74.39975665,0.239519172,4.35,6.92,67.92102195,21.72982988,1.865165403,Indonesia
2010,177.56,246305322,1.260541401,49.914,50.086,7.55094E+11,2490,42.77586634,22.03862859,2.025179146,861.1543603,624.4404252,0.947814875,15.85402492,84.14597508,67.15478782,94.2,9.39825042,40.6,-79.04613071,0.213957332,4.26,10.92,86.58861927,20.59572582,1.767907879,Indonesia
2011,191.88,249470032,1.276688306,50.595,49.405,8.92969E+11,2960,43.91342343,21.7608545,2.302984294,819.0144538,668.4089414,0.800177348,11.99289052,87.9989314,65.3021442,94.8,9.089669987,46.6,-106.7081555,0.277992164,4.1,12.28,101.095073,17.91857231,2.456844744,Indonesia
2012,208.96,252698525,1.285838166,51.276,48.724,9.1787E+11,3520,43.59374442,21.45095506,2.309780318,838.8718217,721.0489258,0.789529583,11.23681448,88.75568665,65.34475065,96,8.922161676,52.6,-107.2110734,0.271689923,3.84,14.52,112.6850884,19.5533516,2.559750233,Indonesia
2013,225.18,255852467,1.240380016,51.955,48.045,9.12524E+11,3670,42.63567744,21.02868868,2.551356334,850.1571689,761.7475895,0.904904506,12.27016017,87.72058143,65.26568681,96.5,9.58290899,58.1,-112.2837508,0.194908673,3.53,14.94,123.6702315,20.10299356,1.945094474,Indonesia
2014,237.55,258877399,1.175360912,52.635,47.365,8.90815E+11,3570,41.92834213,21.07517605,2.819972604,871.1196685,800.1509626,0.838570292,11.47510049,88.51700047,66.08947546,97,9.401165546,63,-103.0913295,0.172653446,3.48,17.1432,127.0667453,18.53546489,1.819363319,Indonesia
2015,243.29,261799249,1.122339818,53.313,46.687,8.60854E+11,3390,40.0478624,20.98578743,2.297616394,,910,,10.65115563,89.34457057,,97.5,,67.3,,,3.26,22.0627,130.8216306,18.67127865,,Indonesia
