Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2011,892969104529.572,43.9134234267133,21.7608545038476,2.30298429390257,819.014453808223,46.6,-106.708155531383,1.27668830646548,2960,668.408941399422,94.8,9.08966998696958,65.3021441970397,50.595,249470032,12.28,101.095073,17.9185723142468,166747.99999999994,Indonesia
2012,917869913364.917,43.5937444233376,21.4509550553875,2.30978031844954,838.871821669715,52.6,-107.211073417706,1.28583816632167,3520,721.048925790129,96.0,8.92216167574864,65.3447506537263,51.276,252698525,14.52,112.6850884,19.553351601333,182208.00000000006,Indonesia
2013,912524136718.018,42.6356774375889,21.0286886817218,2.55135633401058,850.157168896871,58.1,-112.283750758322,1.24038001568984,3670,761.747589480933,96.5,9.58290898990834,65.2656868066395,51.955,255852467,14.94,123.6702315,20.1029935644832,194894.99999999997,Indonesia
2014,890814755511.014,41.9283421270033,21.0751760505565,2.81997260419232,871.119668503777,63.0,-103.091329547663,1.17536091203837,3570,800.150962579781,97.0,9.40116554617424,66.089475456589,52.635,258877399,17.1432,127.0667453,18.5354648917633,207141.00000000003,Indonesia
2015,860854232717.718,40.0478624042506,20.9857874310206,2.29761639372032,,67.3,,1.12233981761262,3390,910.0,97.5,,,53.313,261799249,22.0627,130.8216306,18.6712786457665,238237.31659,Indonesia
2016,931877364034.196,39.3084439802081,20.5229746805052,0.48737247137071,,71.6,,1.0744882002252,3370,956.0,97.6,,,53.989,264627418,25.4474,147.24962,19.1310042759597,252983.811608,Indonesia
2017,1015618744168.08,39.3791548040237,20.1600223614347,2.01948919810922,,75.5,,1.02232939771064,3490,1021.0,98.1,,,54.659,267346658,32.3358,164.5351584,16.9555634840925,272960.937818,Indonesia
2018,1042271532953.49,39.7297374523848,19.8631933835963,1.81428979355558,,78.9,,0.969743409524713,3810,1064.0,98.5,,,55.325,269951846,39.9046,119.6084851,18.4371895829409,287228.764144,Indonesia
2019,1119099871385.79,38.9517679950779,19.7035390875513,2.23336204275137,,82.1,,0.935604959235128,4020,1084.0,98.9,,,55.985,272489381,47.6906,126.5946679,19.4270918962783,295378.489004,Indonesia
2020,1059054842711.55,38.2383937187942,19.8664218856304,1.81058402024892,,84.8,,0.849801187379341,3850,,97.0,,,56.641,274814866,53.7265,130.8110952,17.8814994983985,,Indonesia
2021,1186509691070.97,39.8448191919686,19.2434077817738,1.78785563147915,,87.2,,0.704601321926319,4130,,99.2,,,57.29,276758053,62.1045,133.6505363,,,Indonesia
2022,1319076267291.51,41.4300472451885,18.3365234606157,1.87267638101123,,89.1,,0.746050469653246,4520,,100.0,,,57.934,278830529,66.4846,114.9005566,,,Indonesia
2000,1731198022.46763,16.4770694017999,8.71088702828675,1.95760389973722,,1.3,,1.67898547843134,280,,42.6,,,21.977,5431212,0.111044,0.233499231,28.820009114765,,Lao PDR
2001,1768619058.34647,16.9937147919347,9.1444310735075,1.35157901983043,,1.4,,1.64839890567014,300,,45.3,,,22.993,5521482,0.181664,0.535263919,28.8274106843826,,Lao PDR
2002,1758176653.07746,18.3826897329941,10.1492602809144,0.253176893420544,,1.5,,1.60628714871708,310,,46.3,,,24.044,5610889,0.267899,0.983928046,28.8952739905149,,Lao PDR
2003,2023324407.28414,20.1201441501939,9.81210926959904,0.962969691363711,,1.6,,1.53964095162728,330,,48.0,,,25.126,5697945,0.333912,1.97352289,28.9554957475365,,Lao PDR
2004,2366398119.86321,19.3595097686057,10.09899321317,0.714895049062071,,1.8,,1.45793744820894,380,,53.5,,,26.242,5781626,0.361434,3.539963389,28.9399726698219,,Lao PDR
2005,2735558734.7379,23.2287895606829,9.64161022318721,1.01332132437858,,2.0,,1.50884118892528,450,,57.2,,,27.186,5869523,0.850357,11.23409141,28.7806014717458,,Lao PDR
2006,3455030060.9785,26.1754512486046,9.455624322685,5.42138961728604,,2.3,,1.58338798520366,500,,57.0,,,27.748,5963200,1.16989,16.97720022,28.4053138984033,,Lao PDR
2007,4223152739.04052,25.3930205228552,10.0618302002961,7.66062749777557,,2.5,,1.54812352499039,600,,55.0,,,28.316,6056236,1.64,24.47150868,27.7775269837477,,Lao PDR
2008,5446433157.40114,26.9497231702456,10.0831015739329,4.18200303606929,,2.9,,1.5195940495706,740,,66.0,,,28.893,6148969,3.55,32.95597261,26.8823653754409,,Lao PDR
2009,5836137329.63305,25.163093788149,11.6792654656985,5.45905949594973,,3.2,,1.49588633029834,880,,67.4,,,29.475,6241642,6.0,51.92100072,25.7049537211446,,Lao PDR
2010,7131771014.70456,30.4660210858755,11.0944103727538,3.90935018167503,,3.5,,1.47192872108695,990,,70.2,,,30.064,6334194,7.0,63.31061777,24.2304166685204,,Lao PDR
2011,8750104617.17303,30.815970194642,10.6713661460928,3.43702755895922,,4.0,,1.44814949802327,1130,,70.0,,,30.66,6426590,9.0,85.42039479,20.5789011650413,,Lao PDR
2012,10192846339.4029,32.4366446720109,8.98377274194291,6.06067602678934,,4.3,,1.42735442034268,1350,,76.4,,,31.264,6518978,10.7477,66.06436451,22.4365696992954,,Lao PDR
2013,11983252626.5452,30.4277075542967,8.43540228331074,5.68624628337024,,4.8,,1.40755477426746,1590,,79.3,,,31.872,6611385,12.5,69.88020438,24.2423626108046,,Lao PDR
2014,13279245886.3854,28.815000545489,8.42769528413766,6.53385086120159,,5.2,,1.37876842701215,1810,,82.5,,,32.487,6703172,14.26,69.02215871,21.3928997917018,,Lao PDR
2015,14426380125.6488,27.6933442499915,8.19005219527172,7.47075777292731,,5.8,,1.45836474920589,1960,,89.7,,,33.108,6801645,18.2,54.91280264,20.1670988613747,,Lao PDR
2016,15912501722.6143,28.7595046372574,7.77156382707168,5.87774436155716,,6.2,,1.56317561333482,2110,,89.0,,,33.736,6908802,21.87,57.44162039,22.463787282601,,Lao PDR
2017,17071155481.4994,30.91247539947,7.48353451889534,9.91778683507173,,6.8,,1.57029722559747,2240,,93.6,,,34.368,7018147,25.5104,53.04168369,19.1515982168711,,Lao PDR
2018,18141641089.7963,31.533192488879,7.45272743973651,7.4856486219066,,7.3,,1.55377801997365,2460,,92.9,,,35.004,7128045,36.3,51.54585373,20.9840690040935,,Lao PDR
2019,18740561512.5555,31.531381987864,7.64369194070959,4.03149139231071,,8.0,,1.52576304616693,2520,,98.4,,,35.645,7237636,47.0323,64.29411986,22.4289603771825,,Lao PDR
2020,18981805250.2424,32.4163678323352,7.68478649420094,5.09807193491087,,8.7,,1.49338675171473,2470,,99.3,,,36.29,7346533,54.0,63.34796067,22.3176670505669,,Lao PDR
2021,18827148530.9347,34.1299777246213,8.69509978976757,5.69344695957329,,9.4,,1.44141640887407,2500,,100.0,,,36.939,7453194,62.0,64.95535792,,,Lao PDR
2022,15468785203.7532,34.1089797342112,8.80581309491413,4.69509225789708,,10.2,,1.40971670105791,2300,,100.0,,,37.592,7559007,66.1548,,,,Lao PDR
2000,93789736842.1053,48.3205714911013,30.8635497655731,4.03842862393764,2128.59533531617,97.8,-58.6133137909066,2.34480241175698,3490,2774.14273956218,98.6,7.99942242437369,94.9730969134974,61.977,22967816,21.3847,22.32170197,23.5136706210687,63716.000000000065,Malaysia
2001,92783947368.4211,46.2026949988513,29.3364040399457,0.597029318252079,2162.6181888725,98.0,-54.0123700348272,2.40351289519482,3570,2779.75450531651,98.6,8.00039390017444,95.1780638263954,62.922,23526538,26.696,31.36877845,23.3307924792576,65398.00000000007,Malaysia
2002,100845526315.789,45.1153796974529,29.2463982171795,3.16612432250471,2181.9827065907,98.1,-55.0893697248292,2.41855547054066,3810,2832.94534416525,98.6,8.00010774555886,95.6284197268942,63.856,24102477,32.3382,37.49827327,23.2129752557118,68281.00000000003,Malaysia
2003,110202368421.053,46.5786626994835,29.9286718930962,2.92094209456765,2283.09281486792,98.1,-50.6956753599229,2.36624571909165,4170,2916.94331213283,98.7,8.00061170653379,95.9911100418413,64.78,24679602,34.9712,44.96469217,23.1072146751735,71989.00000000001,Malaysia
2004,124749473684.211,48.5303176049683,30.3781473606048,3.50787262049413,2399.18486020304,98.1,-52.0792254693467,2.31172452935085,4720,2976.54823031225,98.7,8.00034028486705,96.2164669700382,65.694,25256772,42.2523,57.67519655,22.9605064623849,75177.99999999999,Malaysia
2005,143534405818.501,46.3683224854575,27.5496800827112,2.73438734940078,2544.0910113616,98.0,-45.3960406342887,2.26772984873607,5240,2857.55523740432,98.7,8.00019353355993,96.8270839757407,66.594,25836071,48.6292,75.39480725,22.7198463420882,73827.99999999987,Malaysia
2006,162692258307.056,46.5156572562267,27.5660875626692,4.72716484834358,2501.712607156,97.8,-40.7188250642881,2.22705351047756,5790,3040.51316097727,98.8,7.99955471446065,96.6940755469026,67.483,26417909,51.638,73.42192752,22.1459745460658,80323.99999999988,Malaysia
2007,193549569477.733,44.5959960321039,26.1225839420447,4.68684578287436,2680.57790411124,97.5,-28.3541407341323,2.17350461828888,6560,3239.19327186522,98.9,7.99971286763198,96.9448283252121,68.36,26998389,55.7,86.17480992,21.1584955616188,87452.99999999997,Malaysia
2008,230811614370.384,45.1050654004356,24.5607176579228,3.28081949125174,2744.00801971443,97.2,-26.9661623574635,2.09531674831339,7420,3246.27524373452,99.0,7.99991820124539,96.7602257708384,69.225,27570059,55.8,100.1760536,19.9427014967672,89500.00000000009,Malaysia
2009,202257453036.641,40.9678238412473,23.8001450501293,0.056692316075743,2555.84477857923,96.9,-24.7207893952925,1.99206021194285,7500,3887.46179614289,99.3,5.67485323655423,96.6643483947923,70.075,28124778,55.9,106.8284441,18.6838844595312,109334.00000000003,Malaysia
2010,255017638455.59,40.4989323548818,23.4337755680919,4.26864663854031,2560.80226199423,96.5,-21.7027753593753,1.87040612656176,8130,4080.74797904618,99.5,6.16896126168,96.896213032511,70.912,28655776,56.3,117.9017242,17.5673365579308,116937.00000000001,Malaysia
2011,297951668674.835,39.8242687277964,23.3202044896916,5.07446032143377,2623.8471185091,95.9,-14.7370616925982,1.75128008243176,8890,4030.71952547625,99.5,9.35292980081222,96.81165029369,71.609,29162039,61.0,125.6206583,16.5543727413676,117543.9999999999,Malaysia
2012,314443047642.111,40.1350010090069,23.1381762920437,2.8290573817453,2624.83537056864,95.2,-11.868809790613,1.70269513202166,9980,4251.58340415991,99.8,6.22111756870391,96.7402331937941,72.275,29662831,65.8,139.3270554,17.9101382186238,126114.0000000001,Malaysia
2013,323276235524.415,39.8853736547897,22.8407424205833,3.49431175959971,2909.99247206187,94.5,-5.76051303676827,1.70946282045073,10590,4414.68913990117,99.6,3.84971231965767,96.7518810939698,72.93,30174265,57.0575,142.7087288,18.7954198873143,133209.99999999997,Malaysia
2014,338066095097.254,39.9244244845871,22.8739302431305,3.14122940365348,2922.28592151514,93.5,-5.50502894059521,1.7147407282165,10840,4526.23729168266,99.7,5.79240382724505,96.6281988978081,73.577,30696137,63.6654,146.794505,17.1052502297433,138937.99999999988,Malaysia
2015,301355266964.947,38.4496697879603,22.2932974814824,3.27094402931735,,92.7,,1.73319445645586,10350,,99.9,,,74.213,31232798,71.0641,141.9557664,16.9297330913892,,Malaysia
2016,301256033870.334,37.6832735037439,21.7969514793711,4.47130958598651,,91.6,,1.76731054757933,9800,,99.9,,,74.84,31789685,78.7883,137.8669153,16.3864419259472,,Malaysia
2017,319109094160.343,38.1147163565611,21.8461598838126,2.93582038058561,,90.7,,1.76466064017847,9560,,100.0,,,75.447,32355644,80.1405,132.4079212,14.9450075810201,,Malaysia
2018,358788845712.53,38.2914391724977,21.5281592651946,2.31458721219734,,89.5,,1.70174731907235,10200,,100.0,,,76.036,32910967,81.201,130.908501,16.6541753286852,,Malaysia
2019,365177721021.516,37.4765552390649,21.4089982975331,2.50697705748044,,88.2,,1.59646653343981,10750,,100.0,,,76.607,33440596,84.1871,135.9610804,17.8197510834605,,Malaysia
2020,337456163961.211,35.9347385342535,22.2320775941863,1.20275464255821,,86.9,,1.33363323143911,10110,,100.0,,,77.16,33889558,89.555,131.6976181,16.1938532237922,,Malaysia
2021,373784823672.946,37.6826861838931,23.363165635524,5.41625984914692,,86.0,,1.15251304394292,10520,,100.0,,,77.696,34282399,96.7514,140.5905675,,,Malaysia
2022,407605841348.235,39.0948343009769,23.3311324135913,3.68689336269238,,84.1,,1.1977720012836,11610,,100.0,,,78.214,34695493,97.3986,141.2923164,,,Malaysia
2000,8905066163.58643,9.69226113586128,,2.86117768008645,283.550199476314,2.0,-20.0640122620477,1.11707426022512,190,77.6315900161801,41.9,31.3012895662368,27.18147716903,27.025,45290841,,0.029419172,39.5272329221873,3516.0000000000005,Myanmar
