country_code,country_name,year,Fossil fuel electricity production (%)
,,2035,53.5819877188992
MMR,Myanmar,2000,63.032434544744
MMR,Myanmar,2001,61.1431008743869
MMR,Myanmar,2002,58.3464877663773
MMR,Myanmar,2003,61.7511520737327
MMR,Myanmar,2004,57.0689962560171
MMR,Myanmar,2005,50.1828457446808
MMR,Myanmar,2006,46.0577547047372
MMR,Myanmar,2007,43.4442881700266
MMR,Myanmar,2008,38.5231048021746
MMR,Myanmar,2009,24.5261344055141
MMR,Myanmar,2010,32.3213575500464
MMR,Myanmar,2011,23.8143494122416
MMR,Myanmar,2012,27.6369735370854
MMR,Myanmar,2013,27.9578672327917
MMR,Myanmar,2014,37.6350921805467
MMR,Myanmar,2015,41.1458985597996
,,2016,41.1458985597996
,,2017,41.1458985597996
,,2018,41.1458985597996
,,2019,41.1458985597996
,,2020,41.1458985597996
,,2021,41.1458985597996
,,2022,41.1458985597996
,,2023,41.1458985597996
,,2024,41.1458985597996
,,2025,41.1458985597996
,,2026,41.1458985597996
,,2027,41.1458985597996
,,2028,41.1458985597996
,,2029,41.1458985597996
,,2030,41.1458985597996
,,2031,41.1458985597996
,,2032,41.1458985597996
,,2033,41.1458985597996
,,2034,41.1458985597996
,,2035,41.1458985597996
MYS,Malaysia,2000,89.9415204678363
MYS,Malaysia,2001,90.0709020313995
MYS,Malaysia,2002,92.8551226279142
MYS,Malaysia,2003,93.5566911774076
MYS,Malaysia,2004,92.9135676437703
MYS,Malaysia,2005,93.719835980308
MYS,Malaysia,2006,92.8275631748859
MYS,Malaysia,2007,93.3436564256122
MYS,Malaysia,2008,92.3712436478155
MYS,Malaysia,2009,92.9906985164177
MYS,Malaysia,2010,94.0041350792557
MYS,Malaysia,2011,93.282537226842
MYS,Malaysia,2012,92.6105625051161
MYS,Malaysia,2013,91.4158498857952
MYS,Malaysia,2014,90.2921970041161
MYS,Malaysia,2015,90.0428315447999
,,2016,90.0428315447999
,,2017,90.0428315447999
,,2018,90.0428315447999
,,2019,90.0428315447999
,,2020,90.0428315447999
,,2021,90.0428315447999
,,2022,90.0428315447999
,,2023,90.0428315447999
,,2024,90.0428315447999
,,2025,90.0428315447999
,,2026,90.0428315447999
,,2027,90.0428315447999
,,2028,90.0428315447999
,,2029,90.0428315447999
,,2030,90.0428315447999
,,2031,90.0428315447999
,,2032,90.0428315447999
,,2033,90.0428315447999
,,2034,90.0428315447999
,,2035,90.0428315447999
PHL,Philippines,2000,57.1097372488408
PHL,Philippines,2001,62.7077577045696
PHL,Philippines,2002,64.3571914911177
PHL,Philippines,2003,66.5810351341141
PHL,Philippines,2004,66.2687420698036
PHL,Philippines,2005,67.634840101119
PHL,Philippines,2006,63.9716112216685
PHL,Philippines,2007,68.4001274932479
PHL,Philippines,2008,66.0840828003486
PHL,Philippines,2009,67.4149319293939
PHL,Philippines,2010,73.6913583891825
PHL,Philippines,2011,71.3123048456112
PHL,Philippines,2012,71.5308347389641
PHL,Philippines,2013,73.5564531129594
PHL,Philippines,2014,74.359969972302
PHL,Philippines,2015,74.5634790627692
,,2016,74.5634790627692
,,2017,74.5634790627692
,,2018,74.5634790627692
,,2019,74.5634790627692
,,2020,74.5634790627692
,,2021,74.5634790627692
,,2022,74.5634790627692
,,2023,74.5634790627692
,,2024,74.5634790627692
,,2025,74.5634790627692
,,2026,74.5634790627692
,,2027,74.5634790627692
,,2028,74.5634790627692
,,2029,74.5634790627692
,,2030,74.5634790627692
,,2031,74.5634790627692
,,2032,74.5634790627692
,,2033,74.5634790627692
,,2034,74.5634790627692
,,2035,74.5634790627692
SGP,Singapore,2000,98.4525501342176
