country_code,country_name,year,Renewable electricity output (% of total)
THA,Thailand,2007,6.91389194995048
THA,Thailand,2008,6.59788639724336
THA,Thailand,2009,6.89717913123172
THA,Thailand,2010,5.60988453003348
THA,Thailand,2011,8.04790019937048
THA,Thailand,2012,8.39087073264288
THA,Thailand,2013,8.27793001871879
THA,Thailand,2014,8.51453474894525
THA,Thailand,2015,8.53847884788479
,,2016,8.53847884788479
,,2017,8.53847884788479
,,2018,8.53847884788479
,,2019,8.53847884788479
,,2020,8.53847884788479
,,2021,8.53847884788479
,,2022,8.53847884788479
,,2023,8.53847884788479
,,2024,8.53847884788479
,,2025,8.53847884788479
,,2026,8.53847884788479
,,2027,8.53847884788479
,,2028,8.53847884788479
,,2029,8.53847884788479
,,2030,8.53847884788479
,,2031,8.53847884788479
,,2032,8.53847884788479
,,2033,8.53847884788479
,,2034,8.53847884788479
,,2035,8.53847884788479
VNM,Vietnam,2000,54.7833289409284
VNM,Vietnam,2001,59.4942498693152
VNM,Vietnam,2002,50.8380824673148
VNM,Vietnam,2003,46.3921808185706
VNM,Vietnam,2004,38.5595879590556
VNM,Vietnam,2005,31.6739973162368
VNM,Vietnam,2006,33.8435852082059
VNM,Vietnam,2007,34.4943887297039
VNM,Vietnam,2008,35.4814976292986
VNM,Vietnam,2009,36.1322512774271
VNM,Vietnam,2010,29.1402800754455
VNM,Vietnam,2011,39.460181412868
VNM,Vietnam,2012,45.0192189944894
VNM,Vietnam,2013,41.6620020151295
VNM,Vietnam,2014,42.9814065130943
VNM,Vietnam,2015,36.7320576972006
,,2016,36.7320576972006
,,2017,36.7320576972006
,,2018,36.7320576972006
,,2019,36.7320576972006
,,2020,36.7320576972006
,,2021,36.7320576972006
,,2022,36.7320576972006
,,2023,36.7320576972006
,,2024,36.7320576972006
,,2025,36.7320576972006
,,2026,36.7320576972006
,,2027,36.7320576972006
,,2028,36.7320576972006
,,2029,36.7320576972006
,,2030,36.7320576972006
,,2031,36.7320576972006
,,2032,36.7320576972006
,,2033,36.7320576972006
,,2034,36.7320576972006
,,2035,36.7320576972006
