country_code,country_name,year,Electric power consumption (kWh per capita)
MMR,Myanmar,2004,83.0699385996303
MMR,Myanmar,2005,77.2370632925481
MMR,Myanmar,2006,91.1371287326069
MMR,Myanmar,2007,92.238878622924
MMR,Myanmar,2008,97.1465791023511
MMR,Myanmar,2009,102.60897867815
MMR,Myanmar,2010,128.30350416248
MMR,Myanmar,2011,159.288317925885
MMR,Myanmar,2012,160.943239346575
MMR,Myanmar,2013,191.235409794683
MMR,Myanmar,2014,222.092286921925
,,2015,222.092286921925
,,2016,222.092286921925
,,2017,222.092286921925
,,2018,222.092286921925
,,2019,222.092286921925
,,2020,222.092286921925
,,2021,222.092286921925
,,2022,222.092286921925
,,2023,222.092286921925
,,2024,222.092286921925
,,2025,222.092286921925
,,2026,222.092286921925
,,2027,222.092286921925
,,2028,222.092286921925
,,2029,222.092286921925
,,2030,222.092286921925
,,2031,222.092286921925
,,2032,222.092286921925
,,2033,222.092286921925
,,2034,222.092286921925
,,2035,222.092286921925
MYS,Malaysia,2000,2774.14273956218
MYS,Malaysia,2001,2779.75450531651
MYS,Malaysia,2002,2832.94534416525
MYS,Malaysia,2003,2916.94331213283
MYS,Malaysia,2004,2976.54823031225
MYS,Malaysia,2005,2857.55523740432
MYS,Malaysia,2006,3040.51316097727
MYS,Malaysia,2007,3239.19327186522
MYS,Malaysia,2008,3246.27524373452
MYS,Malaysia,2009,3887.46179614289
MYS,Malaysia,2010,4080.74797904618
MYS,Malaysia,2011,4030.71952547625
MYS,Malaysia,2012,4251.58340415991
MYS,Malaysia,2013,4414.68913990117
MYS,Malaysia,2014,4526.23729168266
,,2015,4526.23729168266
,,2016,4526.23729168266
,,2017,4526.23729168266
,,2018,4526.23729168266
,,2019,4526.23729168266
,,2020,4526.23729168266
,,2021,4526.23729168266
,,2022,4526.23729168266
,,2023,4526.23729168266
,,2024,4526.23729168266
,,2025,4526.23729168266
,,2026,4526.23729168266
,,2027,4526.23729168266
,,2028,4526.23729168266
,,2029,4526.23729168266
,,2030,4526.23729168266
,,2031,4526.23729168266
,,2032,4526.23729168266
,,2033,4526.23729168266
,,2034,4526.23729168266
,,2035,4526.23729168266
PHL,Philippines,2000,489.102741930442
PHL,Philippines,2001,507.816269894231
PHL,Philippines,2002,511.587436783944
PHL,Philippines,2003,544.423474364741
PHL,Philippines,2004,564.040508873111
PHL,Philippines,2005,565.23838255611
PHL,Philippines,2006,557.463582483216
PHL,Philippines,2007,570.989787953654
PHL,Philippines,2008,573.263417512328
PHL,Philippines,2009,576.600439162254
PHL,Philippines,2010,622.210803986521
PHL,Philippines,2011,625.922315809972
PHL,Philippines,2012,644.478862259272
PHL,Philippines,2013,661.514731484876
PHL,Philippines,2014,674.510319404613
,,2015,674.510319404613
,,2016,674.510319404613
,,2017,674.510319404613
