country_code,country_name,year,Electric power transmission and distribution losses (% of output)
,,2025,9.40116554617424
,,2026,9.40116554617424
,,2027,9.40116554617424
,,2028,9.40116554617424
,,2029,9.40116554617424
,,2030,9.40116554617424
,,2031,9.40116554617424
,,2032,9.40116554617424
,,2033,9.40116554617424
,,2034,9.40116554617424
,,2035,9.40116554617424
KHM,Cambodia,2000,11.1607142857143
KHM,Cambodia,2001,11.0019646365422
KHM,Cambodia,2002,13.5989010989011
KHM,Cambodia,2003,14.9410222804718
KHM,Cambodia,2004,12.760736196319
KHM,Cambodia,2005,11.0995850622407
KHM,Cambodia,2006,12.0441051738762
KHM,Cambodia,2007,14.4772117962466
KHM,Cambodia,2008,11.0661268556005
KHM,Cambodia,2009,14.0600315955766
KHM,Cambodia,2010,28.6
KHM,Cambodia,2011,27.9245283018868
KHM,Cambodia,2012,18.2705718270572
KHM,Cambodia,2013,28.0652418447694
KHM,Cambodia,2014,23.4160679294579
,,2015,23.4160679294579
,,2016,23.4160679294579
,,2017,23.4160679294579
,,2018,23.4160679294579
,,2019,23.4160679294579
,,2020,23.4160679294579
,,2021,23.4160679294579
,,2022,23.4160679294579
,,2023,23.4160679294579
,,2024,23.4160679294579
,,2025,23.4160679294579
,,2026,23.4160679294579
,,2027,23.4160679294579
,,2028,23.4160679294579
,,2029,23.4160679294579
,,2030,23.4160679294579
,,2031,23.4160679294579
,,2032,23.4160679294579
,,2033,23.4160679294579
,,2034,23.4160679294579
,,2035,23.4160679294579
MMR,Myanmar,2000,31.3012895662368
MMR,Myanmar,2001,31.1367029217317
MMR,Myanmar,2002,31.2549329123915
MMR,Myanmar,2003,29.0506912442396
MMR,Myanmar,2004,30.2906043858085
MMR,Myanmar,2005,39.0957446808511
MMR,Myanmar,2006,29.3478260869565
MMR,Myanmar,2007,30.6297859040475
MMR,Myanmar,2008,29.009362730293
MMR,Myanmar,2009,28.3026995979322
MMR,Myanmar,2010,16.6114278138672
MMR,Myanmar,2011,20.2269963518443
MMR,Myanmar,2012,25.2609019754007
MMR,Myanmar,2013,21.5154731771046
MMR,Myanmar,2014,20.4916295825387
,,2015,20.4916295825387
,,2016,20.4916295825387
,,2017,20.4916295825387
,,2018,20.4916295825387
,,2019,20.4916295825387
,,2020,20.4916295825387
,,2021,20.4916295825387
,,2022,20.4916295825387
,,2023,20.4916295825387
,,2024,20.4916295825387
,,2025,20.4916295825387
,,2026,20.4916295825387
,,2027,20.4916295825387
,,2028,20.4916295825387
,,2029,20.4916295825387
,,2030,20.4916295825387
,,2031,20.4916295825387
,,2032,20.4916295825387
,,2033,20.4916295825387
,,2034,20.4916295825387
,,2035,20.4916295825387
MYS,Malaysia,2000,7.99942242437369
MYS,Malaysia,2001,8.00039390017444
MYS,Malaysia,2002,8.00010774555886
MYS,Malaysia,2003,8.00061170653379
MYS,Malaysia,2004,8.00034028486705
MYS,Malaysia,2005,8.00019353355993
MYS,Malaysia,2006,7.99955471446065
MYS,Malaysia,2007,7.99971286763198
MYS,Malaysia,2008,7.99991820124539
MYS,Malaysia,2009,5.67485323655423
MYS,Malaysia,2010,6.16896126168
MYS,Malaysia,2011,9.35292980081222
MYS,Malaysia,2012,6.22111756870391
MYS,Malaysia,2013,3.84971231965767
MYS,Malaysia,2014,5.79240382724505
,,2015,5.79240382724505
,,2016,5.79240382724505
,,2017,5.79240382724505
,,2018,5.79240382724505
,,2019,5.79240382724505
,,2020,5.79240382724505
,,2021,5.79240382724505
,,2022,5.79240382724505
,,2023,5.79240382724505
,,2024,5.79240382724505
,,2025,5.79240382724505
,,2026,5.79240382724505
,,2027,5.79240382724505
,,2028,5.79240382724505
,,2029,5.79240382724505
,,2030,5.79240382724505
,,2031,5.79240382724505
,,2032,5.79240382724505
,,2033,5.79240382724505
,,2034,5.79240382724505
,,2035,5.79240382724505
PHL,Philippines,2000,14.0097151689115
PHL,Philippines,2001,12.1424017003188
PHL,Philippines,2002,12.3176594383808
PHL,Philippines,2003,12.8636191915376
PHL,Philippines,2004,12.9152742284254
PHL,Philippines,2005,12.0511959269539
PHL,Philippines,2006,12.1251078667911
PHL,Philippines,2007,12.7627451309322
PHL,Philippines,2008,12.6272175728778
PHL,Philippines,2009,12.1105925291904
PHL,Philippines,2010,11.5142747483098
PHL,Philippines,2011,11.1021163409275
PHL,Philippines,2012,11.4644615405713
PHL,Philippines,2013,10.2848563760529
PHL,Philippines,2014,9.40954155988714
,,2015,9.40954155988714
,,2016,9.40954155988714
,,2017,9.40954155988714
,,2018,9.40954155988714
,,2019,9.40954155988714
,,2020,9.40954155988714
,,2021,9.40954155988714
,,2022,9.40954155988714
,,2023,9.40954155988714
,,2024,9.40954155988714
,,2025,9.40954155988714
,,2026,9.40954155988714
,,2027,9.40954155988714
,,2028,9.40954155988714
,,2029,9.40954155988714
,,2030,9.40954155988714
,,2031,9.40954155988714
,,2032,9.40954155988714
,,2033,9.40954155988714
,,2034,9.40954155988714
,,2035,9.40954155988714
SGP,Singapore,2000,3.63808621506395
SGP,Singapore,2001,6.00501677294569
SGP,Singapore,2002,6.56012000923148
SGP,Singapore,2003,5.50775500962301
SGP,Singapore,2004,5.88954388633832
SGP,Singapore,2005,3.1245911077382
SGP,Singapore,2006,2.6925612291466
SGP,Singapore,2007,2.87360513456349
SGP,Singapore,2008,2.54332766018649
SGP,Singapore,2009,1.79087092625397
SGP,Singapore,2010,2.85487533343621
SGP,Singapore,2011,2.54248337607023
SGP,Singapore,2012,1.89691511783867
SGP,Singapore,2013,2.29523233755134
SGP,Singapore,2014,2.02916160388821
,,2015,2.02916160388821
,,2016,2.02916160388821
,,2017,2.02916160388821
,,2018,2.02916160388821
,,2019,2.02916160388821
,,2020,2.02916160388821
,,2021,2.02916160388821
,,2022,2.02916160388821
,,2023,2.02916160388821
,,2024,2.02916160388821
,,2025,2.02916160388821
,,2026,2.02916160388821
,,2027,2.02916160388821
,,2028,2.02916160388821
,,2029,2.02916160388821
,,2030,2.02916160388821
,,2031,2.02916160388821
,,2032,2.02916160388821
,,2033,2.02916160388821
,,2034,2.02916160388821
,,2035,2.02916160388821
THA,Thailand,2000,7.90814465965804
THA,Thailand,2001,9.20035149384886
THA,Thailand,2002,7.26151926834414
THA,Thailand,2003,7.31046391356009
THA,Thailand,2004,7.93862893411916
THA,Thailand,2005,8.10532765493922
THA,Thailand,2006,8.05812227011287
THA,Thailand,2007,6.46403213882186
THA,Thailand,2008,6.07355554651147
THA,Thailand,2009,5.91398574066337
THA,Thailand,2010,6.34457943105026
THA,Thailand,2011,6.94463142104352
THA,Thailand,2012,5.69500383582662
THA,Thailand,2013,6.06746979468011
THA,Thailand,2014,6.11120126106913
,,2015,6.11120126106913
,,2016,6.11120126106913
,,2017,6.11120126106913
,,2018,6.11120126106913
,,2019,6.11120126106913
,,2020,6.11120126106913
,,2021,6.11120126106913
,,2022,6.11120126106913
,,2023,6.11120126106913
,,2024,6.11120126106913
,,2025,6.11120126106913
,,2026,6.11120126106913
,,2027,6.11120126106913
,,2028,6.11120126106913
,,2029,6.11120126106913
,,2030,6.11120126106913
,,2031,6.11120126106913
,,2032,6.11120126106913
,,2033,6.11120126106913
,,2034,6.11120126106913
,,2035,6.11120126106913
VNM,Vietnam,2000,13.7683069161553
VNM,Vietnam,2001,13.86238891793
VNM,Vietnam,2002,14.0015644206057
VNM,Vietnam,2003,12.8821014050092
VNM,Vietnam,2004,13.0061243480707
VNM,Vietnam,2005,11.6631877143283
VNM,Vietnam,2006,11.3451143107467
VNM,Vietnam,2007,11.1106136580707
VNM,Vietnam,2008,10.0836557850564
VNM,Vietnam,2009,9.60024045686805
VNM,Vietnam,2010,10.1124305870204
VNM,Vietnam,2011,9.54819740179876
VNM,Vietnam,2012,9.11201442274985
VNM,Vietnam,2013,9.19762662529787
VNM,Vietnam,2014,9.28671228459857
,,2015,9.28671228459857
,,2016,9.28671228459857
,,2017,9.28671228459857
,,2018,9.28671228459857
,,2019,9.28671228459857
,,2020,9.28671228459857
,,2021,9.28671228459857
,,2022,9.28671228459857
,,2023,9.28671228459857
,,2024,9.28671228459857
,,2025,9.28671228459857
,,2026,9.28671228459857
,,2027,9.28671228459857
,,2028,9.28671228459857
,,2029,9.28671228459857
,,2030,9.28671228459857
,,2031,9.28671228459857
,,2032,9.28671228459857
,,2033,9.28671228459857
,,2034,9.28671228459857
,,2035,9.28671228459857
